date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:11	415503/415503	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2008:48:10%20GMT	https://www.bolitri.com/recharge	./bolitri-clone/www.bolitri.com/recharge.html	(from )
14:18:11	58507/58507	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Sep%202025%2008:48:11%20GMT	https://www.bolitri.com/robots.txt		(from )
14:18:12	146004/146004	---MCZ	200	added ('OK')	font/ttf	etag:W/%2223a54-O/9RQ2qn65ldhM/Fksxj4TFrtAA%22	https://www.bolitri.com/_nuxt/Roboto-Regular.CN_pkOMA.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Roboto-Regular.CN_pkOMA.ttf	(from https://www.bolitri.com/recharge)
14:18:12	146132/146132	---MCZ	200	added ('OK')	font/ttf	etag:W/%2223ad4-+lGSID+F3bZnV54b3ybxIJi7hzs%22	https://www.bolitri.com/_nuxt/Roboto-Medium.CwcsZ-zd.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Roboto-Medium.CwcsZ-zd.ttf	(from https://www.bolitri.com/recharge)
14:18:14	146768/146768	---MCZ	200	added ('OK')	font/ttf	etag:W/%2223d50-UIw13ugYrdzmzG0ftuQvA52lp88%22	https://www.bolitri.com/_nuxt/Roboto-Bold._ZJd4Sbe.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Roboto-Bold._ZJd4Sbe.ttf	(from https://www.bolitri.com/recharge)
14:18:15	330948/330948	---MCZ	200	added ('OK')	font/ttf	etag:W/%2250cc4-HIEZs47vGRSk+9n2z97fGYRFq5c%22	https://www.bolitri.com/_nuxt/Montserrat-Regular.Cw3fqWkz.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Montserrat-Regular.Cw3fqWkz.ttf	(from https://www.bolitri.com/recharge)
14:18:16	330872/330872	---MCZ	200	added ('OK')	font/ttf	etag:W/%2250c78-RlbkBBnahqX+xHPqjn/A7+8YPwU%22	https://www.bolitri.com/_nuxt/Montserrat-Medium.CpRznguy.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Montserrat-Medium.CpRznguy.ttf	(from https://www.bolitri.com/recharge)
14:18:17	335788/335788	---MCZ	200	added ('OK')	font/ttf	etag:W/%2251fac-x9kHcir0+4RauX1RW7QU8pZR8AA%22	https://www.bolitri.com/_nuxt/Montserrat-Bold.BSrD1I5P.ttf	./bolitri-clone/www.bolitri.com/_nuxt/Montserrat-Bold.BSrD1I5P.ttf	(from https://www.bolitri.com/recharge)
14:18:18	7482/7482	---MCZ	200	added ('OK')	text/css	etag:W/%221d3a-5KMdb/x4DBsb+2zZCzkLprXB6IY%22	https://www.bolitri.com/_nuxt/entry.lEdfaMbr.css	./bolitri-clone/www.bolitri.com/_nuxt/entry.lEdfaMbr.css	(from https://www.bolitri.com/recharge)
14:18:19	17810/17810	---MCZ	200	added ('OK')	text/css	etag:W/%224592-FeDQYoha2psry8bJStDfRn26CkM%22	https://www.bolitri.com/_nuxt/swiper-vue.BCiLj-cK.css	./bolitri-clone/www.bolitri.com/_nuxt/swiper-vue.BCiLj-cK.css	(from https://www.bolitri.com/recharge)
14:18:20	4069/4069	---MCZ	200	added ('OK')	text/css	etag:W/%22fe5-D/aLnMT9d9p3peoYr9UEe9BEA4U%22	https://www.bolitri.com/_nuxt/default.CuCXtaG-.css	./bolitri-clone/www.bolitri.com/_nuxt/default.CuCXtaG-.css	(from https://www.bolitri.com/recharge)
14:18:21	3923/3923	---MCZ	200	added ('OK')	text/css	etag:W/%22f53-sAZuNDuqESy0XcEOZtYcopJVyFY%22	https://www.bolitri.com/_nuxt/recharge.DcaF3Qp_.css	./bolitri-clone/www.bolitri.com/_nuxt/recharge.DcaF3Qp_.css	(from https://www.bolitri.com/recharge)
14:18:22	315/315	---MCZ	200	added ('OK')	text/css	etag:W/%2213b-TeApzNbwG8pCLl62rcyDh+VJ1JY%22	https://www.bolitri.com/_nuxt/MySwiper.wodZNaND.css	./bolitri-clone/www.bolitri.com/_nuxt/MySwiper.wodZNaND.css	(from https://www.bolitri.com/recharge)
14:18:23	1333194/1333194	---MCZ	200	added ('OK')	text/javascript	etag:W/%221457ca-YCT2eCQq25IORkMPYRQ+V/RaOwI%22	https://www.bolitri.com/_nuxt/J0AgRosw.js	./bolitri-clone/www.bolitri.com/_nuxt/J0AgRosw.js	(from https://www.bolitri.com/recharge)
14:18:24	209385/209385	---MCZ	200	added ('OK')	text/javascript	etag:W/%22331e9-iy0W4ImfRvTUybprdkpe0o0uz90%22	https://www.bolitri.com/_nuxt/g6DjQIE-.js	./bolitri-clone/www.bolitri.com/_nuxt/g6DjQIE-.js	(from https://www.bolitri.com/recharge)
14:18:25	7918/7918	---MCZ	200	added ('OK')	text/javascript	etag:W/%221eee-lmsEy0kuKqMd8e6oJdcoEMSy8eI%22	https://www.bolitri.com/_nuxt/yr4m08Ha.js	./bolitri-clone/www.bolitri.com/_nuxt/yr4m08Ha.js	(from https://www.bolitri.com/recharge)
14:18:26	61731/61731	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f123-OhO2H3bmktG5qjKNv0aMGsUf2zk%22	https://www.bolitri.com/_nuxt/AI9P4WST.js	./bolitri-clone/www.bolitri.com/_nuxt/AI9P4WST.js	(from https://www.bolitri.com/recharge)
14:18:27	2073/2073	---MCZ	200	added ('OK')	text/javascript	etag:W/%22819-woAXHFRx27VdXJ1kJLdwwoUYEsk%22	https://www.bolitri.com/_nuxt/DdlGXokY.js	./bolitri-clone/www.bolitri.com/_nuxt/DdlGXokY.js	(from https://www.bolitri.com/recharge)
14:18:28	139/139	---MCZ	200	added ('OK')	application/json	etag:W/%228b-4s0QXNvQhBywLNa5ClJ2s+xtS4M%22	https://www.bolitri.com/_nuxt/builds/meta/4ad1de67-1ed0-4258-a9e4-48a425e91261.json	./bolitri-clone/www.bolitri.com/_nuxt/builds/meta/4ad1de67-1ed0-4258-a9e4-48a425e91261.json	(from https://www.bolitri.com/recharge)
14:18:28	6667/6667	---M--	200	added ('OK')	image/png	etag:%221a0b-E2sW2EAUFaqZna6mRcb0bgiMlgA%22	https://www.bolitri.com/_nuxt/logotwo.CM_tMk5T.png	./bolitri-clone/www.bolitri.com/_nuxt/logotwo.CM_tMk5T.png	(from https://www.bolitri.com/recharge)
14:18:29	26238/26238	---M--	200	added ('OK')	image/png	etag:%22667e-aiNADf7e0HbIW7/W7ks5B7ocb1U%22	https://www.bolitri.com/_nuxt/recharge.YfMBNulY.png	./bolitri-clone/www.bolitri.com/_nuxt/recharge.YfMBNulY.png	(from https://www.bolitri.com/recharge)
14:18:31	333888/333888	---M--	200	added ('OK')	image/png	etag:%2251840-2vmtyb4PPJ8lMNBBIz6pqriJUfE%22	https://www.bolitri.com/_nuxt/boxlogin.SRgX_6-L.png	./bolitri-clone/www.bolitri.com/_nuxt/boxlogin.SRgX_6-L.png	(from https://www.bolitri.com/recharge)
14:18:31	12098/12098	---M--	200	added ('OK')	image/png	etag:%222f42-CECv3oldoQWpa6Yw/S2Geu69tSQ%22	https://www.bolitri.com/_nuxt/nodata.Duriftln.png	./bolitri-clone/www.bolitri.com/_nuxt/nodata.Duriftln.png	(from https://www.bolitri.com/recharge)
14:18:32	24619/24619	---M--	200	added ('OK')	image/png	etag:%22602b-OvIo1N/4R/0piT8nMasqWSpp8Gs%22	https://www.bolitri.com/_nuxt/fengexian.C_SZ2-j6.png	./bolitri-clone/www.bolitri.com/_nuxt/fengexian.C_SZ2-j6.png	(from https://www.bolitri.com/recharge)
14:18:34	2245/2245	---MCZ	200	added ('OK')	text/javascript	etag:W/%228c5-UlJJlMtT2oC8tgKm/Oe4of9wai0%22	https://www.bolitri.com/_nuxt/NwKUJb6L.js	./bolitri-clone/www.bolitri.com/_nuxt/NwKUJb6L.js	(from https://www.bolitri.com/recharge)
14:18:35	3783/3783	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ec7-+MdnYIfUz1u6140r9oH5UUQf3DQ%22	https://www.bolitri.com/_nuxt/BPYDrbZA.js	./bolitri-clone/www.bolitri.com/_nuxt/BPYDrbZA.js	(from https://www.bolitri.com/recharge)
